seed,washout_offset,hamming_dispersion,signed_recency_margin,probability_dispersion,candidate_control_vector_dispersion,P_last_minus_first_margin,Q_last_minus_first_margin,Y_last_minus_first_margin
643,222,0.4,1.0,0.3981236912927415,0.2666666666666667,1.0,1.0,1.0
643,256,0.4,1.0,0.39760759569820486,0.2666666666666667,1.0,1.0,1.0
647,0,0.4,1.0,0.39988847888132145,0.2666666666666667,1.0,1.0,1.0
647,1,0.4,1.0,0.39968341984356587,0.2666666666666667,1.0,1.0,1.0
647,2,0.4,1.0,0.39954872672835035,0.2666666666666667,1.0,1.0,1.0
647,3,0.4,1.0,0.3994356267356927,0.2666666666666667,1.0,1.0,1.0
647,4,0.4,1.0,0.3993143154149517,0.2666666666666667,1.0,1.0,1.0
647,5,0.4,1.0,0.3991806469458605,0.2666666666666667,1.0,1.0,1.0
647,7,0.4,1.0,0.3988493417868117,0.2666666666666667,1.0,1.0,1.0
647,9,0.4,1.0,0.39839316797612945,0.2666666666666667,1.0,1.0,1.0
647,13,0.4,1.0,0.3970732422526624,0.2666666666666667,1.0,1.0,1.0
647,17,0.4,1.0,0.39539448586006115,0.2666666666666667,1.0,1.0,1.0
647,24,0.4,1.0,0.39253518331974974,0.2666666666666667,1.0,1.0,1.0
647,33,0.396875,0.9895833333333334,0.39017068970439467,0.2663194444444445,0.984375,1.0,0.984375
647,45,0.396875,0.9895833333333334,0.3887871395947968,0.2663194444444445,0.984375,1.0,0.984375
647,62,0.396875,0.9895833333333334,0.38822834385351984,0.2663194444444445,0.984375,1.0,0.984375
647,85,0.396875,0.9895833333333334,0.38804440831560394,0.2663194444444445,0.984375,1.0,0.984375
647,117,0.396875,0.9895833333333334,0.38767513868024067,0.2663194444444445,0.984375,1.0,0.984375
647,128,0.396875,0.9895833333333334,0.38749698654781983,0.2663194444444445,0.984375,1.0,0.984375
647,161,0.396875,0.9895833333333334,0.38693482866716594,0.2663194444444445,0.984375,1.0,0.984375
647,222,0.396875,0.9895833333333334,0.3855913447325778,0.2663194444444445,0.984375,1.0,0.984375
647,256,0.396875,0.9895833333333334,0.3847642751130064,0.2663194444444445,0.984375,1.0,0.984375
653,0,0.4,1.0,0.3997886289689099,0.2666666666666667,1.0,1.0,1.0
653,1,0.4,1.0,0.3996624521639614,0.2666666666666667,1.0,1.0,1.0
653,2,0.4,1.0,0.3996247639302525,0.2666666666666667,1.0,1.0,1.0
653,3,0.4,1.0,0.3996106508482464,0.2666666666666667,1.0,1.0,1.0
653,4,0.4,1.0,0.3995731307588944,0.2666666666666667,1.0,1.0,1.0
653,5,0.4,1.0,0.39952624488822397,0.2666666666666667,1.0,1.0,1.0
653,7,0.4,1.0,0.3994324112622369,0.2666666666666667,1.0,1.0,1.0
653,9,0.4,1.0,0.39931274425521823,0.2666666666666667,1.0,1.0,1.0
653,13,0.4,1.0,0.39895262445712043,0.2666666666666667,1.0,1.0,1.0
