run_id,seed,rule,q,width,depth,parameters,proxy_decoder_accuracy,exact_decoder_accuracy,decoder_advantage,rho_y,rho_p,iid_accuracy,single_channel_bayes,proxy_flip_rate,rule_flip_rate,proxy_probability_ate,rule_probability_ate,exact_acquisition_step,exact_acquisition_observed,exact_restricted_acquisition_step,competition_acquisition_step,competition_acquisition_observed,competition_restricted_acquisition_step
2d8e7460034ccbe6e10d,71,multiplexer,0.9,64,2,5313,1.0,1.0,0.0,1.0,0.0,1.0,0.628,0.0,1.0,2.0441636747627047e-05,-0.9999768547350152,45,1,45,181,1,181
2dbce915851783aef3be,83,multiplexer,0.99,128,1,2305,1.0,1.0,0.0,0.9803,0.0197,0.99975,0.6269,0.0197,0.9803,0.046587571145952196,-0.9533808226484581,64,1,64,2048,1,2048
2e7788da19adf524e9e9,53,conjunction,0.99,8,2,217,1.0,1.0,0.0,1.0,0.0,1.0,0.7638,0.0,1.0,0.0029124929508849364,-0.9970690853514661,32,1,32,724,1,724
2e93c8246f0f236dc93e,53,majority,0.75,64,2,5313,1.0,1.0,0.0,1.0,0.0,1.0,0.6929,0.0,1.0,4.952818631915324e-07,-0.9999988529045993,11,1,11,32,1,32
2eaa766e42da730657ee,71,majority,0.9,128,1,2305,1.0,1.0,0.0,1.0,0.0,1.0,0.6947,0.0,1.0,1.662570031909798e-05,-0.9999788782298565,8,1,8,91,1,91
2ee8d0c9986014245804,53,conjunction,0.9,32,2,1633,1.0,1.0,0.0,1.0,0.0,1.0,0.7638,0.0,1.0,1.3991386596090205e-05,-0.9999836292169457,32,1,32,45,1,45
2f16778339e31c80fa9e,53,parity,0.9,128,1,2305,1.0,1.0,0.0,1.0,0.0,1.0,0.506,0.0,1.0,0.0007998857749588404,-0.9990417267596152,45,1,45,1024,1,1024
2f1c5b1e4007d0e52e0b,37,multiplexer,0.9,32,2,1633,1.0,1.0,0.0,1.0,0.0,1.0,0.6299,0.0,1.0,2.03847259305205e-05,-0.9999756239647726,64,1,64,181,1,181
2f242b99d992e1cb69f4,67,majority,0.99,8,1,145,1.0,1.0,0.0,1.0,0.0,1.0,0.689,0.0,1.0,0.003926080309468199,-0.9959989057648163,91,1,91,1024,1,1024
2f29d79ef72acab4248e,37,multiplexer,0.99,64,1,1153,1.0,1.0,0.0,0.9282,0.0718,0.999,0.6299,0.0718,0.9282,0.0967883373990656,-0.9031346654560631,91,1,91,,0,4096
2f61a22abe185487d0dd,23,parity,0.9,32,1,577,1.0,1.0,0.0,1.0,0.0,1.0,0.508,0.0,1.0,0.0035601651068959215,-0.9956575736540848,128,1,128,1448,1,1448
2fa8ca961d65a21396f0,23,majority,0.9,128,1,2305,1.0,1.0,0.0,1.0,0.0,1.0,0.6909,0.0,1.0,2.0324268583310124e-05,-0.999973781634779,16,1,16,91,1,91
2fb12b080d4c25353189,101,conjunction,0.75,16,1,289,1.0,1.0,0.0,1.0,0.0,1.0,0.7635,0.0,1.0,5.5005071114646445e-05,-0.9998336747084624,91,1,91,128,1,128
2fc4377b037bda929ac4,37,majority,0.99,32,1,577,1.0,1.0,0.0,1.0,0.0,1.0,0.6962,0.0,1.0,0.0007145575233452756,-0.999271153873884,32,1,32,362,1,362
2fc603e1eb59a63a6eee,67,multiplexer,0.99,64,2,5313,1.0,1.0,0.0,0.8675,0.1325,0.99825,0.6249,0.1325,0.8675,0.13814979080923345,-0.8618461630384603,45,1,45,,0,4096
300a39c0db0f931d7cc7,23,majority,0.99,64,2,5313,1.0,1.0,0.0,1.0,0.0,1.0,0.6909,0.0,1.0,0.0015107753960778747,-0.9984886465262945,16,1,16,181,1,181
